#  Watauga County, North Carolina Precipitation
# Units: Inches
# Base Period: 1900-2024
# Missing: -99
Date,Value,Anomaly
199412,2.64,-1.29
199501,8.96,4.97
199502,3.88,0.07
199503,3.66,-1.13
199504,1.09,-3.29
199505,5.31,0.48
199506,8.69,3.86
199507,3.53,-1.92
199508,5.51,0.25
199509,3.31,-1.19
199510,7.13,3.18
199511,4.11,0.36
199512,1.32,-2.61
199601,7.73,3.74
199602,3.44,-0.37
199603,4.06,-0.73
199604,2.85,-1.53
199605,4.45,-0.38
199606,4.21,-0.62
199607,5.10,-0.35
199608,9.78,4.52
199609,5.74,1.24
199610,1.54,-2.41
199611,6.25,2.50
199612,5.35,1.42
199701,2.67,-1.32
199702,3.84,0.03
199703,6.89,2.10
199704,5.15,0.77
199705,3.00,-1.83
199706,5.75,0.92
199707,6.05,0.60
199708,1.15,-4.11
199709,4.99,0.49
199710,2.57,-1.38
199711,2.14,-1.61
199712,2.95,-0.98
199801,7.68,3.69
199802,7.47,3.66
199803,5.52,0.73
199804,8.67,4.29
199805,6.51,1.68
199806,5.89,1.06
199807,3.10,-2.35
199808,4.15,-1.11
199809,1.90,-2.60
199810,2.46,-1.49
199811,1.84,-1.91
199812,4.14,0.21
199901,5.58,1.59
199902,3.69,-0.12
199903,2.60,-2.19
199904,3.88,-0.50
199905,2.83,-2.00
199906,4.81,-0.02
199907,5.76,0.31
199908,4.15,-1.11
199909,4.12,-0.38
199910,2.23,-1.72
199911,5.46,1.71
199912,2.39,-1.54
200001,3.93,-0.06
200002,2.33,-1.48
200003,4.23,-0.56
200004,6.43,2.05
200005,2.25,-2.58
200006,5.73,0.90
200007,4.33,-1.12
200008,4.19,-1.07
200009,3.96,-0.54
200010,0.15,-3.80
200011,3.22,-0.53
200012,1.64,-2.29
200101,2.93,-1.06
200102,2.49,-1.32
200103,5.60,0.81
200104,1.31,-3.07
200105,4.64,-0.19
200106,4.97,0.14
200107,8.25,2.80
200108,3.84,-1.42
200109,3.31,-1.19
200110,1.78,-2.17
200111,2.06,-1.69
200112,2.90,-1.03
200201,3.33,-0.66
200202,0.97,-2.84
200203,5.15,0.36
200204,2.12,-2.26
200205,3.07,-1.76
200206,3.80,-1.03
200207,4.32,-1.13
200208,2.18,-3.08
200209,6.89,2.39
200210,4.79,0.84
200211,5.40,1.65
200212,4.69,0.76
200301,2.48,-1.51
200302,5.01,1.20
200303,4.84,0.05
200304,6.77,2.39
200305,5.85,1.02
200306,6.73,1.90
200307,6.86,1.41
200308,7.30,2.04
200309,4.85,0.35
200310,2.21,-1.74
200311,7.77,4.02
200312,4.14,0.21
200401,2.04,-1.95
200402,3.86,0.05
200403,2.34,-2.45
200404,4.05,-0.33
200405,4.62,-0.21
200406,6.41,1.58
200407,4.58,-0.87
200408,3.11,-2.15
200409,19.70,15.20
200410,3.72,-0.23
200411,4.20,0.45
200412,3.88,-0.05
200501,3.42,-0.57
200502,2.67,-1.14
200503,4.15,-0.64
200504,5.14,0.76
200505,1.80,-3.03
200506,5.30,0.47
200507,7.24,1.79
200508,5.45,0.19
200509,0.72,-3.78
200510,4.77,0.82
200511,6.10,2.35
200512,3.69,-0.24
200601,4.02,0.03
200602,2.46,-1.35
200603,1.59,-3.20
200604,5.40,1.02
200605,3.04,-1.79
200606,7.13,2.30
200607,3.80,-1.65
200608,4.97,-0.29
200609,6.86,2.36
200610,4.08,0.13
200611,5.89,2.14
200612,3.59,-0.34
200701,4.08,0.09
200702,1.61,-2.20
200703,4.68,-0.11
200704,2.76,-1.62
200705,1.89,-2.94
200706,4.41,-0.42
200707,4.25,-1.20
200708,2.07,-3.19
200709,2.31,-2.19
200710,6.21,2.26
200711,1.13,-2.62
200712,3.78,-0.15
200801,1.64,-2.35
200802,3.65,-0.16
200803,5.56,0.77
200804,3.51,-0.87
200805,2.61,-2.22
200806,3.83,-1.00
200807,5.62,0.17
200808,6.96,1.70
200809,4.72,0.22
200810,2.50,-1.45
200811,2.58,-1.17
200812,4.32,0.39
200901,3.81,-0.18
200902,1.87,-1.94
200903,4.25,-0.54
200904,4.22,-0.16
200905,9.97,5.14
200906,5.60,0.77
200907,4.52,-0.93
200908,6.45,1.19
200909,6.80,2.30
200910,5.36,1.41
200911,5.23,1.48
200912,8.21,4.28
201001,6.60,2.61
201002,3.74,-0.07
201003,5.48,0.69
201004,2.77,-1.61
201005,4.36,-0.47
201006,2.19,-2.64
201007,4.44,-1.01
201008,6.05,0.79
201009,2.98,-1.52
201010,2.07,-1.88
201011,1.92,-1.83
201012,5.64,1.71
201101,2.30,-1.69
201102,2.52,-1.29
201103,8.37,3.58
201104,7.55,3.17
201105,5.61,0.78
201106,4.19,-0.64
201107,5.10,-0.35
201108,2.20,-3.06
201109,8.29,3.79
201110,3.66,-0.29
201111,6.54,2.79
201112,5.15,1.22
201201,4.69,0.70
201202,2.10,-1.71
201203,4.08,-0.71
201204,5.66,1.28
201205,6.31,1.48
201206,3.46,-1.37
201207,5.11,-0.34
201208,3.35,-1.91
201209,6.30,1.80
201210,3.48,-0.47
201211,0.89,-2.86
201212,4.22,0.29
201301,10.71,6.72
201302,3.04,-0.77
201303,4.32,-0.47
201304,5.45,1.07
201305,9.83,5.00
201306,6.53,1.70
201307,18.18,12.73
201308,4.76,-0.50
201309,2.31,-2.19
201310,2.01,-1.94
201311,3.29,-0.46
201312,4.97,1.04
201401,2.58,-1.41
201402,2.93,-0.88
201403,2.93,-1.86
201404,3.78,-0.60
201405,4.67,-0.16
201406,3.73,-1.10
201407,4.96,-0.49
201408,3.92,-1.34
201409,5.11,0.61
201410,6.24,2.29
201411,4.11,0.36
201412,2.97,-0.96
201501,2.01,-1.98
201502,2.63,-1.18
201503,2.42,-2.37
201504,7.33,2.95
201505,3.17,-1.66
201506,4.24,-0.59
201507,5.50,0.05
201508,4.93,-0.33
201509,9.50,5.00
201510,8.22,4.27
201511,8.38,4.63
201512,8.47,4.54
201601,2.87,-1.12
201602,6.21,2.40
201603,1.43,-3.36
201604,2.52,-1.86
201605,5.21,0.38
201606,4.53,-0.30
201607,3.35,-2.10
201608,6.43,1.17
201609,2.82,-1.68
201610,1.93,-2.02
201611,1.80,-1.95
201612,4.55,0.62
201701,5.41,1.42
201702,1.51,-2.30
201703,5.01,0.22
201704,6.74,2.36
201705,11.83,7.00
201706,2.81,-2.02
201707,4.98,-0.47
201708,4.29,-0.97
201709,5.06,0.56
201710,11.18,7.23
201711,1.70,-2.05
201712,1.54,-2.39
201801,4.35,0.36
201802,4.33,0.52
201803,4.11,-0.68
201804,8.81,4.43
201805,10.40,5.57
201806,3.90,-0.93
201807,4.14,-1.31
201808,9.12,3.86
201809,9.08,4.58
201810,9.50,5.55
201811,5.83,2.08
201812,7.76,3.83
201901,4.28,0.29
201902,5.39,1.58
201903,2.46,-2.33
201904,7.28,2.90
201905,3.01,-1.82
201906,11.02,6.19
201907,5.04,-0.41
201908,3.35,-1.91
201909,0.85,-3.65
201910,7.48,3.53
201911,3.23,-0.52
201912,5.63,1.70
202001,5.69,1.70
202002,7.70,3.89
202003,3.84,-0.95
202004,9.24,4.86
202005,9.62,4.79
202006,3.98,-0.85
202007,4.40,-1.05
202008,8.10,2.84
202009,7.16,2.66
202010,7.01,3.06
202011,4.08,0.33
202012,4.36,0.43
202101,3.20,-0.79
202102,4.34,0.53
202103,5.38,0.59
202104,3.88,-0.50
202105,2.64,-2.19
202106,4.29,-0.54
202107,5.48,0.03
202108,7.90,2.64
202109,3.96,-0.54
202110,6.66,2.71
202111,1.54,-2.21
202112,0.91,-3.02
202201,3.13,-0.86
202202,5.94,2.13
202203,4.21,-0.58
202204,3.02,-1.36
202205,7.77,2.94
202206,1.45,-3.38
202207,5.70,0.25
202208,5.15,-0.11
202209,4.70,0.20
202210,2.99,-0.96
202211,8.50,4.75
202212,3.18,-0.75
202301,4.30,0.31
202302,3.89,0.08
202303,3.68,-1.11
202304,5.34,0.96
202305,4.43,-0.40
202306,5.82,0.99
202307,4.80,-0.65
202308,6.68,1.42
202309,2.71,-1.79
202310,0.98,-2.97
202311,1.51,-2.24
202312,7.81,3.88
202401,8.12,4.13
202402,2.76,-1.05
202403,5.17,0.38
202404,3.93,-0.45
202405,7.50,2.67
202406,1.58,-3.25
202407,5.99,0.54
202408,2.90,-2.36
